value,scope,type,description,column_format
espnNGSPlayerMetricsRouteClassSliceCount,GAME_EVENT,INT,Play count of route class: Slice,event.espnNGSPlayerMetricsRouteClassSliceCount
espnNGSPlayerMetricsRouteClassSlantCount,GAME_EVENT,INT,Play count of route class: Slant,event.espnNGSPlayerMetricsRouteClassSlantCount
espnNGSPlayerMetricsRouteClassSitCount,GAME_EVENT,INT,Play count of route class: Sit,event.espnNGSPlayerMetricsRouteClassSitCount
espnNGSPlayerMetricsRouteClassShortOutCount,GAME_EVENT,INT,Play count of route class: Short Out,event.espnNGSPlayerMetricsRouteClassShortOutCount
espnNGSPlayerMetricsRouteClassSeamCount,GAME_EVENT,INT,Play count of route class: Seam,event.espnNGSPlayerMetricsRouteClassSeamCount
espnNGSPlayerMetricsRouteClassScreenCount,GAME_EVENT,INT,Play count of route class: Screen,event.espnNGSPlayerMetricsRouteClassScreenCount
espnNGSPlayerMetricsRouteClassRbCheckCount,GAME_EVENT,INT,Play count of route class: RB Check,event.espnNGSPlayerMetricsRouteClassRbCheckCount
espnNGSPlayerMetricsRouteClassPostCount,GAME_EVENT,INT,Play count of route class: Post,event.espnNGSPlayerMetricsRouteClassPostCount
espnNGSPlayerMetricsRouteClassPostCornerCount,GAME_EVENT,INT,Play count of route class: Post Corner,event.espnNGSPlayerMetricsRouteClassPostCornerCount
espnNGSPlayerMetricsRouteClassOutUpCount,GAME_EVENT,INT,Play count of route class: Out & Up,event.espnNGSPlayerMetricsRouteClassOutUpCount
espnNGSPlayerMetricsRouteClassNaCount,GAME_EVENT,INT,Play count of route class: NA,event.espnNGSPlayerMetricsRouteClassNaCount
espnNGSPlayerMetricsRouteClassLeakCount,GAME_EVENT,INT,Play count of route class: Leak,event.espnNGSPlayerMetricsRouteClassLeakCount
espnNGSPlayerMetricsRouteClassInCount,GAME_EVENT,INT,Play count of route class: In,event.espnNGSPlayerMetricsRouteClassInCount
espnNGSPlayerMetricsRouteClassHitchCount,GAME_EVENT,INT,Play count of route class: Hitch,event.espnNGSPlayerMetricsRouteClassHitchCount
espnNGSPlayerMetricsRouteClassGoCount,GAME_EVENT,INT,Play count of route class: Go,event.espnNGSPlayerMetricsRouteClassGoCount
espnNGSPlayerMetricsRouteClassFlatCount,GAME_EVENT,INT,Play count of route class: Flat,event.espnNGSPlayerMetricsRouteClassFlatCount
espnNGSPlayerMetricsRouteClassFadeShortCount,GAME_EVENT,INT,Play count of route class: Fade-short,event.espnNGSPlayerMetricsRouteClassFadeShortCount
espnNGSPlayerMetricsRouteClassFadeDeepCount,GAME_EVENT,INT,Play count of route class: Fade-deep,event.espnNGSPlayerMetricsRouteClassFadeDeepCount
espnNGSPlayerMetricsRouteClassDragCount,GAME_EVENT,INT,Play count of route class: Drag,event.espnNGSPlayerMetricsRouteClassDragCount
espnNGSPlayerMetricsRouteClassDigCount,GAME_EVENT,INT,Play count of route class: Dig,event.espnNGSPlayerMetricsRouteClassDigCount
espnNGSPlayerMetricsRouteClassDeepOutCount,GAME_EVENT,INT,Play count of route class: Deep Out,event.espnNGSPlayerMetricsRouteClassDeepOutCount
espnNGSPlayerMetricsRouteClassCurlCount,GAME_EVENT,INT,Play count of route class: Curl,event.espnNGSPlayerMetricsRouteClassCurlCount
espnNGSPlayerMetricsRouteClassCrossMediumCount,GAME_EVENT,INT,Play count of route class: Cross-medium,event.espnNGSPlayerMetricsRouteClassCrossMediumCount
espnNGSPlayerMetricsRouteClassCrossDeepCount,GAME_EVENT,INT,Play count of route class: Cross-deep,event.espnNGSPlayerMetricsRouteClassCrossDeepCount
espnNGSPlayerMetricsRouteClassCornerPostCount,GAME_EVENT,INT,Play count of route class: Corner Post,event.espnNGSPlayerMetricsRouteClassCornerPostCount
espnNGSPlayerMetricsRouteClassCornerCount,GAME_EVENT,INT,Play count of route class: Corner,event.espnNGSPlayerMetricsRouteClassCornerCount
espnNGSPlayerMetricsRouteClassComebackCount,GAME_EVENT,INT,Play count of route class: Comeback,event.espnNGSPlayerMetricsRouteClassComebackCount
espnNGSPlayerMetricsRouteClassAngleCount,GAME_EVENT,INT,Play count of route class: Angle,event.espnNGSPlayerMetricsRouteClassAngleCount
espnNGSPlayerMetricsR4ReceiverId,GAME_EVENT,INT,ESPN NGS Player Metrics R4 Receiver Player Id,event.espnNGSPlayerMetricsR4ReceiverId
espnNGSPlayerMetricsR3ReceiverId,GAME_EVENT,INT,ESPN NGS Player Metrics R3 Receiver Player Id,event.espnNGSPlayerMetricsR3ReceiverId
espnNGSPlayerMetricsR2ReceiverId,GAME_EVENT,INT,ESPN NGS Player Metrics R2 Receiver Player Id,event.espnNGSPlayerMetricsR2ReceiverId
espnNGSPlayerMetricsR1ReceiverId,GAME_EVENT,INT,ESPN NGS Player Metrics R1 Receiver Player Id,event.espnNGSPlayerMetricsR1ReceiverId
espnNGSPlayerMetricsL4ReceiverId,GAME_EVENT,INT,ESPN NGS Player Metrics L4 Receiver Player Id,event.espnNGSPlayerMetricsL4ReceiverId
espnNGSPlayerMetricsL3ReceiverId,GAME_EVENT,INT,ESPN NGS Player Metrics L3 Receiver Player Id,event.espnNGSPlayerMetricsL3ReceiverId
espnNGSPlayerMetricsL2ReceiverId,GAME_EVENT,INT,ESPN NGS Player Metrics L2 Receiver Player Id,event.espnNGSPlayerMetricsL2ReceiverId
espnNGSPlayerMetricsL1ReceiverId,GAME_EVENT,INT,ESPN NGS Player Metrics L1 Receiver Player Id,event.espnNGSPlayerMetricsL1ReceiverId
espnNGSPlayerMetricsJetRouteCount,GAME_EVENT,INT,ESPN NGS Player Metrics Receiver Jet Routes Count,event.espnNGSPlayerMetricsJetRouteCount
espnNGSPassRushWinsOnPlay,GAME_EVENT,INT,espnNGSPassRushWinsOnPlay,event.espnNGSPassRushWinsOnPlay
espnNGSPassRushUnblockedRushersOnPlay,GAME_EVENT,INT,espnNGSPassRushUnblockedRushersOnPlay,event.espnNGSPassRushUnblockedRushersOnPlay
espnNGSPassRushSecondaryBlock,GAME_EVENT_ENTITY,FLAG,espnNGSPassRushSecondaryBlock,event.espnNGSPassRushSecondaryBlock
espnNGSPassRushPrimaryBlock,GAME_EVENT_ENTITY,FLAG,espnNGSPassRushPrimaryBlock,event.espnNGSPassRushPrimaryBlock
espnNGSPassRushPlayTime,GAME_EVENT,INT,espnNGSPassRushPlayTime,event.espnNGSPassRushPlayTime
espnNGSPassRushPlay,GAME_EVENT,FLAG,espnNGSPassRushPlay,event.espnNGSPassRushPlay
espnNGSPassRushPartOfBlockingDoubleTeam,GAME_EVENT_ENTITY,FLAG,espnNGSPassRushPartOfBlockingDoubleTeam,event.espnNGSPassRushPartOfBlockingDoubleTeam
espnNGSPassRushLossesOnPlay,GAME_EVENT,INT,espnNGSPassRushLossesOnPlay,event.espnNGSPassRushLossesOnPlay
espnNGSPassRushFirstTimeToPressureRusherCount,GAME_EVENT,INT,espnNGSPassRushFirstTimeToPressureRusherCount,event.espnNGSPassRushFirstTimeToPressureRusherCount
espnNGSPassRushFirstTimeToPressure,GAME_EVENT,INT,espnNGSPassRushFirstTimeToPressure,event.espnNGSPassRushFirstTimeToPressure
espnNGSPassRushFirstPressureVsDoubleTeam,GAME_EVENT,FLAG,espnNGSPassRushFirstPressureVsDoubleTeam,event.espnNGSPassRushFirstPressureVsDoubleTeam
espnNGSPassRushFirstPressureUnblocked,GAME_EVENT,FLAG,espnNGSPassRushFirstPressureUnblocked,event.espnNGSPassRushFirstPressureUnblocked
espnNGSPassRusherUnblocked,GAME_EVENT_ENTITY,FLAG,espnNGSPassRusherUnblocked,event.espnNGSPassRusherUnblocked
espnNGSPassRusherFirstPressure,GAME_EVENT_ENTITY,FLAG,espnNGSPassRusherFirstPressure,event.espnNGSPassRusherFirstPressure
espnNGSPassRusherDoubleTeamed,GAME_EVENT_ENTITY,FLAG,espnNGSPassRusherDoubleTeamed,event.espnNGSPassRusherDoubleTeamed
espnNGSPassRusher9TimeToPressure,GAME_EVENT,INT,espnNGSPassRusher9TimeToPressure,event.espnNGSPassRusher9TimeToPressure
espnNGSPassRusher9PressureDuration,GAME_EVENT,INT,espnNGSPassRusher9PressureDuration,event.espnNGSPassRusher9PressureDuration
espnNGSPassRusher9DoubleTeamed,GAME_EVENT,FLAG,espnNGSPassRusher9DoubleTeamed,event.espnNGSPassRusher9DoubleTeamed
espnNGSPassRusher9DoubleTeamDuration,GAME_EVENT,INT,espnNGSPassRusher9DoubleTeamDuration,event.espnNGSPassRusher9DoubleTeamDuration
espnNGSPassRusher9,GAME_EVENT_ENTITY,FLAG,espnNGSPassRusher9,event.espnNGSPassRusher9
espnNGSPassRusher8TimeToPressure,GAME_EVENT,INT,espnNGSPassRusher8TimeToPressure,event.espnNGSPassRusher8TimeToPressure
espnNGSPassRusher8PressureDuration,GAME_EVENT,INT,espnNGSPassRusher8PressureDuration,event.espnNGSPassRusher8PressureDuration
espnNGSPassRusher8DoubleTeamed,GAME_EVENT,FLAG,espnNGSPassRusher8DoubleTeamed,event.espnNGSPassRusher8DoubleTeamed
espnNGSPassRusher8DoubleTeamDuration,GAME_EVENT,INT,espnNGSPassRusher8DoubleTeamDuration,event.espnNGSPassRusher8DoubleTeamDuration
espnNGSPassRusher8,GAME_EVENT_ENTITY,FLAG,espnNGSPassRusher8,event.espnNGSPassRusher8
espnNGSPassRusher7TimeToPressure,GAME_EVENT,INT,espnNGSPassRusher7TimeToPressure,event.espnNGSPassRusher7TimeToPressure
espnNGSPassRusher7PressureDuration,GAME_EVENT,INT,espnNGSPassRusher7PressureDuration,event.espnNGSPassRusher7PressureDuration
espnNGSPassRusher7DoubleTeamed,GAME_EVENT,FLAG,espnNGSPassRusher7DoubleTeamed,event.espnNGSPassRusher7DoubleTeamed
espnNGSPassRusher7DoubleTeamDuration,GAME_EVENT,INT,espnNGSPassRusher7DoubleTeamDuration,event.espnNGSPassRusher7DoubleTeamDuration
espnNGSPassRusher7,GAME_EVENT_ENTITY,FLAG,espnNGSPassRusher7,event.espnNGSPassRusher7
espnNGSPassRusher6TimeToPressure,GAME_EVENT,INT,espnNGSPassRusher6TimeToPressure,event.espnNGSPassRusher6TimeToPressure
espnNGSPassRusher6PressureDuration,GAME_EVENT,INT,espnNGSPassRusher6PressureDuration,event.espnNGSPassRusher6PressureDuration
espnNGSPassRusher6DoubleTeamed,GAME_EVENT,FLAG,espnNGSPassRusher6DoubleTeamed,event.espnNGSPassRusher6DoubleTeamed
espnNGSPassRusher6DoubleTeamDuration,GAME_EVENT,INT,espnNGSPassRusher6DoubleTeamDuration,event.espnNGSPassRusher6DoubleTeamDuration
espnNGSPassRusher6,GAME_EVENT_ENTITY,FLAG,espnNGSPassRusher6,event.espnNGSPassRusher6
espnNGSPassRusher5TimeToPressure,GAME_EVENT,INT,espnNGSPassRusher5TimeToPressure,event.espnNGSPassRusher5TimeToPressure
espnNGSPassRusher5PressureDuration,GAME_EVENT,INT,espnNGSPassRusher5PressureDuration,event.espnNGSPassRusher5PressureDuration
espnNGSPassRusher5DoubleTeamed,GAME_EVENT,FLAG,espnNGSPassRusher5DoubleTeamed,event.espnNGSPassRusher5DoubleTeamed
espnNGSPassRusher5DoubleTeamDuration,GAME_EVENT,INT,espnNGSPassRusher5DoubleTeamDuration,event.espnNGSPassRusher5DoubleTeamDuration
espnNGSPassRusher5,GAME_EVENT_ENTITY,FLAG,espnNGSPassRusher5,event.espnNGSPassRusher5
espnNGSPassRusher4TimeToPressure,GAME_EVENT,INT,espnNGSPassRusher4TimeToPressure,event.espnNGSPassRusher4TimeToPressure
espnNGSPassRusher4PressureDuration,GAME_EVENT,INT,espnNGSPassRusher4PressureDuration,event.espnNGSPassRusher4PressureDuration
espnNGSPassRusher4DoubleTeamed,GAME_EVENT,FLAG,espnNGSPassRusher4DoubleTeamed,event.espnNGSPassRusher4DoubleTeamed
espnNGSPassRusher4DoubleTeamDuration,GAME_EVENT,INT,espnNGSPassRusher4DoubleTeamDuration,event.espnNGSPassRusher4DoubleTeamDuration
espnNGSPassRusher4,GAME_EVENT_ENTITY,FLAG,espnNGSPassRusher4,event.espnNGSPassRusher4
espnNGSPassRusher3TimeToPressure,GAME_EVENT,INT,espnNGSPassRusher3TimeToPressure,event.espnNGSPassRusher3TimeToPressure
espnNGSPassRusher3PressureDuration,GAME_EVENT,INT,espnNGSPassRusher3PressureDuration,event.espnNGSPassRusher3PressureDuration
espnNGSPassRusher3DoubleTeamed,GAME_EVENT,FLAG,espnNGSPassRusher3DoubleTeamed,event.espnNGSPassRusher3DoubleTeamed
espnNGSPassRusher3DoubleTeamDuration,GAME_EVENT,INT,espnNGSPassRusher3DoubleTeamDuration,event.espnNGSPassRusher3DoubleTeamDuration
espnNGSPassRusher3,GAME_EVENT_ENTITY,FLAG,espnNGSPassRusher3,event.espnNGSPassRusher3
espnNGSPassRusher2TimeToPressure,GAME_EVENT,INT,espnNGSPassRusher2TimeToPressure,event.espnNGSPassRusher2TimeToPressure
espnNGSPassRusher2PressureDuration,GAME_EVENT,INT,espnNGSPassRusher2PressureDuration,event.espnNGSPassRusher2PressureDuration
espnNGSPassRusher2DoubleTeamed,GAME_EVENT,FLAG,espnNGSPassRusher2DoubleTeamed,event.espnNGSPassRusher2DoubleTeamed
espnNGSPassRusher2DoubleTeamDuration,GAME_EVENT,INT,espnNGSPassRusher2DoubleTeamDuration,event.espnNGSPassRusher2DoubleTeamDuration
espnNGSPassRusher2,GAME_EVENT_ENTITY,FLAG,espnNGSPassRusher2,event.espnNGSPassRusher2
espnNGSPassRusher1TimeToPressure,GAME_EVENT,INT,espnNGSPassRusher1TimeToPressure,event.espnNGSPassRusher1TimeToPressure
espnNGSPassRusher1PressureDuration,GAME_EVENT,INT,espnNGSPassRusher1PressureDuration,event.espnNGSPassRusher1PressureDuration
espnNGSPassRusher1DoubleTeamed,GAME_EVENT,FLAG,espnNGSPassRusher1DoubleTeamed,event.espnNGSPassRusher1DoubleTeamed
espnNGSPassRusher1DoubleTeamDuration,GAME_EVENT,INT,espnNGSPassRusher1DoubleTeamDuration,event.espnNGSPassRusher1DoubleTeamDuration
espnNGSPassRusher10DoubleTeamed,GAME_EVENT,FLAG,espnNGSPassRusher10DoubleTeamed,event.espnNGSPassRusher10DoubleTeamed
espnNGSPassRusher10DoubleTeamDuration,GAME_EVENT,INT,espnNGSPassRusher10DoubleTeamDuration,event.espnNGSPassRusher10DoubleTeamDuration
espnNGSPassRusher10,GAME_EVENT_ENTITY,FLAG,espnNGSPassRusher10,event.espnNGSPassRusher10
espnNGSPassRusher1,GAME_EVENT_ENTITY,FLAG,espnNGSPassRusher1,event.espnNGSPassRusher1
espnNGSPassRusher,GAME_EVENT_ENTITY,FLAG,espnNGSPassRusher,event.espnNGSPassRusher
espnNGSPassRushBlockFirstPressure,GAME_EVENT_ENTITY,FLAG,espnNGSPassRushBlockFirstPressure,event.espnNGSPassRushBlockFirstPressure
espnNGSPassRushBlock,GAME_EVENT_ENTITY,FLAG,espnNGSPassRushBlock,event.espnNGSPassRushBlock
espnNGSPassRush9Unblocked,GAME_EVENT,FLAG,espnNGSPassRush9Unblocked,event.espnNGSPassRush9Unblocked
espnNGSPassRush9SecondaryBlockerId,GAME_EVENT,INT,espnNGSPassRush9SecondaryBlockerId,event.espnNGSPassRush9SecondaryBlockerId
espnNGSPassRush9SecondaryBlock,GAME_EVENT_ENTITY,FLAG,espnNGSPassRush9SecondaryBlock,event.espnNGSPassRush9SecondaryBlock
espnNGSPassRush9PrimaryBlockerId,GAME_EVENT,INT,espnNGSPassRush9PrimaryBlockerId,event.espnNGSPassRush9PrimaryBlockerId
espnNGSPassRush9PrimaryBlock,GAME_EVENT_ENTITY,FLAG,espnNGSPassRush9PrimaryBlock,event.espnNGSPassRush9PrimaryBlock
espnNGSPassRush9FirstPressure,GAME_EVENT,FLAG,espnNGSPassRush9FirstPressure,event.espnNGSPassRush9FirstPressure
espnNGSPassRush8Unblocked,GAME_EVENT,FLAG,espnNGSPassRush8Unblocked,event.espnNGSPassRush8Unblocked
espnNGSPassRush8SecondaryBlockerId,GAME_EVENT,INT,espnNGSPassRush8SecondaryBlockerId,event.espnNGSPassRush8SecondaryBlockerId
espnNGSPassRush8SecondaryBlock,GAME_EVENT_ENTITY,FLAG,espnNGSPassRush8SecondaryBlock,event.espnNGSPassRush8SecondaryBlock
espnNGSPassRush8PrimaryBlockerId,GAME_EVENT,INT,espnNGSPassRush8PrimaryBlockerId,event.espnNGSPassRush8PrimaryBlockerId
espnNGSPassRush8PrimaryBlock,GAME_EVENT_ENTITY,FLAG,espnNGSPassRush8PrimaryBlock,event.espnNGSPassRush8PrimaryBlock
espnNGSPassRush8FirstPressure,GAME_EVENT,FLAG,espnNGSPassRush8FirstPressure,event.espnNGSPassRush8FirstPressure
espnNGSPassRush7Unblocked,GAME_EVENT,FLAG,espnNGSPassRush7Unblocked,event.espnNGSPassRush7Unblocked
espnNGSPassRush7SecondaryBlockerId,GAME_EVENT,INT,espnNGSPassRush7SecondaryBlockerId,event.espnNGSPassRush7SecondaryBlockerId
espnNGSPassRush7SecondaryBlock,GAME_EVENT_ENTITY,FLAG,espnNGSPassRush7SecondaryBlock,event.espnNGSPassRush7SecondaryBlock
espnNGSPassRush7PrimaryBlockerId,GAME_EVENT,INT,espnNGSPassRush7PrimaryBlockerId,event.espnNGSPassRush7PrimaryBlockerId
espnNGSPassRush7PrimaryBlock,GAME_EVENT_ENTITY,FLAG,espnNGSPassRush7PrimaryBlock,event.espnNGSPassRush7PrimaryBlock
espnNGSPassRush7FirstPressure,GAME_EVENT,FLAG,espnNGSPassRush7FirstPressure,event.espnNGSPassRush7FirstPressure
espnNGSPassRush6Unblocked,GAME_EVENT,FLAG,espnNGSPassRush6Unblocked,event.espnNGSPassRush6Unblocked
espnNGSPassRush6SecondaryBlockerId,GAME_EVENT,INT,espnNGSPassRush6SecondaryBlockerId,event.espnNGSPassRush6SecondaryBlockerId
espnNGSPassRush6SecondaryBlock,GAME_EVENT_ENTITY,FLAG,espnNGSPassRush6SecondaryBlock,event.espnNGSPassRush6SecondaryBlock
espnNGSPassRush6PrimaryBlockerId,GAME_EVENT,INT,espnNGSPassRush6PrimaryBlockerId,event.espnNGSPassRush6PrimaryBlockerId
espnNGSPassRush6PrimaryBlock,GAME_EVENT_ENTITY,FLAG,espnNGSPassRush6PrimaryBlock,event.espnNGSPassRush6PrimaryBlock
espnNGSPassRush6FirstPressure,GAME_EVENT,FLAG,espnNGSPassRush6FirstPressure,event.espnNGSPassRush6FirstPressure
espnNGSPassRush5Unblocked,GAME_EVENT,FLAG,espnNGSPassRush5Unblocked,event.espnNGSPassRush5Unblocked
espnNGSPassRush5SecondaryBlockerId,GAME_EVENT,INT,espnNGSPassRush5SecondaryBlockerId,event.espnNGSPassRush5SecondaryBlockerId
espnNGSPassRush5SecondaryBlock,GAME_EVENT_ENTITY,FLAG,espnNGSPassRush5SecondaryBlock,event.espnNGSPassRush5SecondaryBlock
espnNGSPassRush5PrimaryBlockerId,GAME_EVENT,INT,espnNGSPassRush5PrimaryBlockerId,event.espnNGSPassRush5PrimaryBlockerId
espnNGSPassRush5PrimaryBlock,GAME_EVENT_ENTITY,FLAG,espnNGSPassRush5PrimaryBlock,event.espnNGSPassRush5PrimaryBlock
espnNGSPassRush5FirstPressure,GAME_EVENT,FLAG,espnNGSPassRush5FirstPressure,event.espnNGSPassRush5FirstPressure
espnNGSPassRush4Unblocked,GAME_EVENT,FLAG,espnNGSPassRush4Unblocked,event.espnNGSPassRush4Unblocked
espnNGSPassRush4SecondaryBlockerId,GAME_EVENT,INT,espnNGSPassRush4SecondaryBlockerId,event.espnNGSPassRush4SecondaryBlockerId
espnNGSPassRush4SecondaryBlock,GAME_EVENT_ENTITY,FLAG,espnNGSPassRush4SecondaryBlock,event.espnNGSPassRush4SecondaryBlock
espnNGSPassRush4PrimaryBlockerId,GAME_EVENT,INT,espnNGSPassRush4PrimaryBlockerId,event.espnNGSPassRush4PrimaryBlockerId
espnNGSPassRush4PrimaryBlock,GAME_EVENT_ENTITY,FLAG,espnNGSPassRush4PrimaryBlock,event.espnNGSPassRush4PrimaryBlock
espnNGSPassRush4FirstPressure,GAME_EVENT,FLAG,espnNGSPassRush4FirstPressure,event.espnNGSPassRush4FirstPressure
espnNGSPassRush3Unblocked,GAME_EVENT,FLAG,espnNGSPassRush3Unblocked,event.espnNGSPassRush3Unblocked
espnNGSPassRush3SecondaryBlockerId,GAME_EVENT,INT,espnNGSPassRush3SecondaryBlockerId,event.espnNGSPassRush3SecondaryBlockerId
espnNGSPassRush3SecondaryBlock,GAME_EVENT_ENTITY,FLAG,espnNGSPassRush3SecondaryBlock,event.espnNGSPassRush3SecondaryBlock
espnNGSPassRush3PrimaryBlockerId,GAME_EVENT,INT,espnNGSPassRush3PrimaryBlockerId,event.espnNGSPassRush3PrimaryBlockerId
espnNGSPassRush3PrimaryBlock,GAME_EVENT_ENTITY,FLAG,espnNGSPassRush3PrimaryBlock,event.espnNGSPassRush3PrimaryBlock
espnNGSPassRush3FirstPressure,GAME_EVENT,FLAG,espnNGSPassRush3FirstPressure,event.espnNGSPassRush3FirstPressure
espnNGSPassRush2Unblocked,GAME_EVENT,FLAG,espnNGSPassRush2Unblocked,event.espnNGSPassRush2Unblocked
espnNGSPassRush2SecondaryBlockerId,GAME_EVENT,INT,espnNGSPassRush2SecondaryBlockerId,event.espnNGSPassRush2SecondaryBlockerId
espnNGSPassRush2SecondaryBlock,GAME_EVENT_ENTITY,FLAG,espnNGSPassRush2SecondaryBlock,event.espnNGSPassRush2SecondaryBlock
espnNGSPassRush2PrimaryBlockerId,GAME_EVENT,INT,espnNGSPassRush2PrimaryBlockerId,event.espnNGSPassRush2PrimaryBlockerId
espnNGSPassRush2PrimaryBlock,GAME_EVENT_ENTITY,FLAG,espnNGSPassRush2PrimaryBlock,event.espnNGSPassRush2PrimaryBlock
espnNGSPassRush2FirstPressure,GAME_EVENT,FLAG,espnNGSPassRush2FirstPressure,event.espnNGSPassRush2FirstPressure
espnNGSPassRush1Unblocked,GAME_EVENT,FLAG,espnNGSPassRush1Unblocked,event.espnNGSPassRush1Unblocked
espnNGSPassRush1SecondaryBlockerId,GAME_EVENT,INT,espnNGSPassRush1SecondaryBlockerId,event.espnNGSPassRush1SecondaryBlockerId
espnNGSPassRush1SecondaryBlock,GAME_EVENT_ENTITY,FLAG,espnNGSPassRush1SecondaryBlock,event.espnNGSPassRush1SecondaryBlock
espnNGSPassRush1PrimaryBlockerId,GAME_EVENT,INT,espnNGSPassRush1PrimaryBlockerId,event.espnNGSPassRush1PrimaryBlockerId
espnNGSPassRush1PrimaryBlock,GAME_EVENT_ENTITY,FLAG,espnNGSPassRush1PrimaryBlock,event.espnNGSPassRush1PrimaryBlock
espnNGSPassRush1FirstPressure,GAME_EVENT,FLAG,espnNGSPassRush1FirstPressure,event.espnNGSPassRush1FirstPressure
espnNGSPassRush10Unblocked,GAME_EVENT,FLAG,espnNGSPassRush10Unblocked,event.espnNGSPassRush10Unblocked
espnNGSPassRush10SecondaryBlockerId,GAME_EVENT,INT,espnNGSPassRush10SecondaryBlockerId,event.espnNGSPassRush10SecondaryBlockerId
espnNGSPassRush10SecondaryBlock,GAME_EVENT_ENTITY,FLAG,espnNGSPassRush10SecondaryBlock,event.espnNGSPassRush10SecondaryBlock
espnNGSPassRush10PrimaryBlockerId,GAME_EVENT,INT,espnNGSPassRush10PrimaryBlockerId,event.espnNGSPassRush10PrimaryBlockerId
espnNGSPassRush10PrimaryBlock,GAME_EVENT_ENTITY,FLAG,espnNGSPassRush10PrimaryBlock,event.espnNGSPassRush10PrimaryBlock
espnNGSCoverageSplitRB,GAME_EVENT,ENUM,Split RB,event.espnNGSCoverageSplitRB
espnNGSCoverageRightCBCushionAtSnap,GAME_EVENT,FLOAT,Right CB Cushion at Snap,event.espnNGSCoverageRightCBCushionAtSnap
espnNGSCoveragePresnapShell,GAME_EVENT,INT,Presnap Shell,event.espnNGSCoveragePresnapShell
espnNGSCoveragePresnapRead,GAME_EVENT,ENUM,Presnap Read,event.espnNGSCoveragePresnapRead
espnNGSCoveragePresnapMotion,GAME_EVENT,ENUM,Presnap Motion,event.espnNGSCoveragePresnapMotion
espnNGSCoveragePresnapManProb,GAME_EVENT,FLOAT,Presnap Man Coverage Odds,event.espnNGSCoveragePresnapManProb
espnNGSCoverageNumRushers,GAME_EVENT,INT,Pass Blocker Count,event.espnNGSCoverageNumRushers
espnNGSCoverageNumReceivers,GAME_EVENT,INT,Routes Run Count,event.espnNGSCoverageNumReceivers
espnNGSCoverageNumInCoverage,GAME_EVENT,INT,Coverage Count,event.espnNGSCoverageNumInCoverage
espnNGSCoverageNumBlockers,GAME_EVENT,INT,Pass Blocker Count,event.espnNGSCoverageNumBlockers
espnNGSCoverageLeftCBCushionAtSnap,GAME_EVENT,FLOAT,Left CB Cushion at Snap,event.espnNGSCoverageLeftCBCushionAtSnap
espnNGSCoverageActual,GAME_EVENT,ENUM,Actual Coverage Type,event.espnNGSCoverageActual
